                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.456,                 1.0498,                 1.1828,                0.46089,                 0.5179,                0.39878,                0.16813,                 1.8584,                 1.6886,                 1.5896,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.4103,                 1.0892,                 1.2066,                0.34694,                0.53866,                  0.397,                0.16745,                 1.8789,                 1.6607,                 1.6079,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.4491,                 1.0266,                 1.1666,                0.38998,                0.51566,                0.43191,                0.18978,                 1.8951,                 1.5678,                 1.6402,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.4029,                0.99542,                 1.1538,                0.38998,                0.51566,                0.43191,                0.18978,                 1.8951,                 1.5678,                 1.6402,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.4334,                 1.0608,                 1.2079,                0.41051,                0.48643,                0.42443,                0.18547,                 1.8904,                 1.5919,                  1.638,               0.000656,               0.000656,               0.000656
                     51,                  1.373,                 1.0505,                 1.1802,                0.45209,                0.47882,                0.41966,                0.18932,                 1.8698,                 1.6207,                 1.6161,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.4364,                 1.0276,                 1.1793,                0.42872,                0.46795,                0.41037,                0.18454,                  1.846,                 1.6744,                 1.6063,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.3733,                  1.008,                 1.1751,                0.42872,                0.46795,                0.41037,                0.18454,                  1.846,                 1.6744,                 1.6063,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.3922,                 1.0308,                   1.18,                0.36993,                0.47258,                0.40742,                0.18682,                 1.8532,                 1.7085,                 1.6055,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.3922,                 1.0452,                 1.1975,                 0.4466,                0.48268,                0.45615,                0.20355,                 1.8321,                 1.6326,                 1.5837,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.4194,                 1.0439,                 1.2201,                0.44053,                0.49678,                0.46581,                0.21745,                 1.8493,                 1.5447,                 1.5881,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.4907,                 1.0679,                 1.2342,                0.44053,                0.49678,                0.46581,                0.21745,                 1.8493,                 1.5447,                 1.5881,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.3406,                0.96517,                 1.1705,                0.44771,                0.51369,                0.45821,                0.21466,                 1.8552,                 1.5202,                 1.5941,               0.000557,               0.000557,               0.000557
                     59,                 1.3134,                0.90049,                 1.1428,                0.51132,                0.44618,                0.46577,                0.20933,                 1.8557,                 1.5472,                 1.6102,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.3521,                 0.9655,                 1.1737,                0.58267,                0.44316,                0.45991,                0.21007,                 1.8468,                   1.54,                 1.6027,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.3292,                0.91875,                 1.1533,                0.58267,                0.44316,                0.45991,                0.21007,                 1.8468,                   1.54,                 1.6027,             0.00051988,             0.00051988,             0.00051988
                     62,                   1.37,                0.94466,                   1.15,                0.55342,                  0.445,                0.46314,                0.21332,                 1.8665,                 1.5644,                 1.6045,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.3021,                0.92489,                 1.1143,                0.49798,                0.52717,                  0.443,                0.21707,                 1.8681,                 1.5945,                  1.601,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.2784,                0.89942,                 1.1317,                0.51037,                0.51791,                0.44095,                 0.2074,                 1.8661,                  1.703,                 1.5947,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.3048,                0.90191,                 1.1248,                0.51037,                0.51791,                0.44095,                 0.2074,                 1.8661,                  1.703,                 1.5947,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.3478,                0.88179,                 1.1349,                0.45132,                0.51365,                0.42927,                0.20153,                 1.8593,                 1.7331,                 1.5711,               0.000458,               0.000458,               0.000458
                     67,                 1.2984,                0.89953,                 1.1524,                0.47922,                0.48968,                 0.4302,                0.20671,                 1.8458,                 1.7466,                 1.5386,             0.00044563,             0.00044563,             0.00044563
                     68,                  1.263,                0.87491,                  1.101,                0.45588,                0.43064,                0.42485,                0.21182,                 1.8409,                  1.722,                 1.5299,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.2772,                0.88253,                 1.1204,                0.45588,                0.43064,                0.42485,                0.21182,                 1.8409,                  1.722,                 1.5299,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.2423,                0.85718,                 1.1143,                0.56377,                0.40654,                0.42665,                0.20777,                 1.8445,                 1.6545,                 1.5417,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.2738,                0.89235,                 1.1357,                0.54813,                0.40358,                0.44083,                0.22026,                 1.8535,                 1.6707,                 1.5516,             0.00039613,             0.00039613,             0.00039613
                     72,                  1.258,                0.84659,                 1.1166,                0.46467,                0.44477,                0.44069,                 0.2142,                 1.8597,                 1.7046,                 1.5613,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.2097,                0.81441,                 1.1225,                0.46467,                0.44477,                0.44069,                 0.2142,                 1.8597,                 1.7046,                 1.5613,             0.00037138,             0.00037138,             0.00037138
                     74,                 1.2766,                0.86576,                 1.1147,                0.57539,                0.40552,                0.46012,                0.22978,                  1.847,                 1.7305,                 1.5522,               0.000359,               0.000359,               0.000359
                     75,                 1.2421,                0.83548,                 1.1041,                 0.5514,                0.42927,                0.46732,                0.22569,                 1.8487,                 1.6814,                 1.5466,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.2835,                0.89025,                 1.1489,                0.49846,                 0.5053,                0.47188,                0.22699,                 1.8319,                 1.5822,                 1.5324,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.1857,                0.79905,                 1.0882,                0.49846,                 0.5053,                0.47188,                0.22699,                 1.8319,                 1.5822,                 1.5324,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.2413,                0.82061,                 1.1081,                 0.5346,                  0.511,                0.49142,                0.23667,                 1.8395,                 1.5312,                 1.5391,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.2755,                0.86533,                 1.1308,                0.50684,                0.55873,                0.51038,                0.24589,                 1.8251,                 1.4402,                 1.5373,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.1987,                0.77855,                 1.0964,                0.54405,                0.49408,                0.52612,                0.25493,                 1.7842,                 1.4123,                 1.5138,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.1944,                0.77678,                 1.0839,                0.54405,                0.49408,                0.52612,                0.25493,                 1.7842,                 1.4123,                 1.5138,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.1902,                 0.7605,                 1.0567,                0.53957,                0.52314,                0.54193,                0.25665,                 1.7493,                 1.4014,                 1.4912,                0.00026,                0.00026,                0.00026
                     83,                 1.1551,                0.73072,                 1.0643,                0.52612,                0.53338,                0.54779,                0.26458,                 1.7613,                 1.4394,                 1.4995,             0.00024762,             0.00024762,             0.00024762
                     84,                 1.1889,                0.77545,                 1.0865,                0.58247,                0.52308,                0.54285,                0.26178,                 1.7931,                 1.4986,                 1.5151,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.1539,                0.71663,                 1.0575,                0.58247,                0.52308,                0.54285,                0.26178,                 1.7931,                 1.4986,                 1.5151,             0.00022288,             0.00022288,             0.00022288
                     86,                 1.1528,                0.72166,                 1.0477,                0.55987,                0.59876,                0.54953,                0.25847,                 1.8139,                 1.5414,                 1.5178,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.1344,                0.73508,                 1.0361,                0.55895,                0.57537,                 0.5167,                0.24169,                 1.8248,                 1.6077,                 1.5237,             0.00019813,             0.00019813,             0.00019813
                     88,                 1.1581,                0.73024,                  1.061,                0.56249,                0.56796,                0.52576,                0.24064,                 1.8272,                  1.631,                 1.5259,             0.00018575,             0.00018575,             0.00018575
                     89,                 1.1669,                0.74117,                 1.0642,                0.56249,                0.56796,                0.52576,                0.24064,                 1.8272,                  1.631,                 1.5259,             0.00017338,             0.00017338,             0.00017338
                     90,                  1.153,                0.72882,                 1.0452,                0.58423,                0.56411,                0.52092,                0.23783,                 1.8208,                 1.6728,                 1.5219,               0.000161,               0.000161,               0.000161
                     91,                 1.1541,                0.76543,                 1.0584,                 0.5621,                0.57656,                0.52257,                0.23035,                 1.8178,                 1.6684,                 1.5173,             0.00014862,             0.00014862,             0.00014862
                     92,                 1.1854,                0.75077,                 1.0863,                0.56041,                0.54855,                 0.5163,                0.23241,                 1.8155,                 1.6457,                 1.5178,             0.00013625,             0.00013625,             0.00013625
                     93,                 1.1645,                0.73942,                 1.0891,                0.56041,                0.54855,                 0.5163,                0.23241,                 1.8155,                 1.6457,                 1.5178,             0.00012387,             0.00012387,             0.00012387
                     94,                 1.0761,                0.68698,                 1.0209,                0.56142,                0.54687,                0.52139,                0.22968,                 1.8276,                 1.6295,                 1.5244,              0.0001115,              0.0001115,              0.0001115
                     95,                 1.1063,                0.69454,                 1.0685,                0.55419,                0.56492,                0.52149,                0.22633,                 1.8232,                 1.6047,                 1.5196,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                 1.1054,                0.68758,                 1.0697,                0.54157,                0.52881,                0.52246,                0.22944,                 1.8239,                 1.5703,                 1.5188,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 1.0728,                0.68007,                  1.054,                0.54157,                0.52881,                0.52246,                0.22944,                 1.8239,                 1.5703,                 1.5188,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                 1.1054,                0.71616,                  1.069,                0.54018,                0.53268,                0.53257,                0.22928,                 1.8228,                 1.5615,                   1.52,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 1.0704,                0.67808,                 1.0455,                0.52048,                0.53713,                0.52792,                0.23124,                 1.8175,                 1.5538,                 1.5206,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                 1.0699,                0.67193,                 1.0301,                0.64295,                0.45678,                0.52381,                0.23023,                 1.8213,                   1.55,                 1.5267,              3.725e-05,              3.725e-05,              3.725e-05
